,pub_time,title,author,info
0,2024,"Backdoor Attacks to Deep Neural Networks: A Survey of the Literature, Challenges, and Future Research Directions","Orson Mengara, Anderson R. Avila, Tiago H. Falk",IEEE Access 12: 29004-29023 (2024)
1,2024,A Comprehensive Survey on Backdoor Attacks and Their Defenses in Face Recognition Systems,"Quentin Le Roux, Eric Bourbao, Yannick Teglia, Kassem Kallas",IEEE Access 12: 47433-47468 (2024)
2,2024,Defending Against Backdoor Attacks by Quarantine Training,"Chengxu Yu, Yulai Zhang",IEEE Access 12: 10681-10689 (2024)
3,2024,Imperceptible and multi-channel backdoor attack,"Mingfu Xue, Shifeng Ni, Yinghao Wu, Yushu Zhang, Weiqiang Liu",Appl. Intell. 54(1): 1099-1116 (2024)
4,2024,Universal adversarial backdoor attacks to fool vertical federated learning,"Peng Chen, Xin Du, Zhihui Lu, Hongfeng Chai",Comput. Secur. 137: 103601 (2024)
5,2024,SGBA: A stealthy scapegoat backdoor attack against deep neural networks,"Ying He, Zhili Shen, Chang Xia, Jingyu Hua, Wei Tong, Sheng Zhong",Comput. Secur. 136: 103523 (2024)
6,2024,Federated learning backdoor attack detection with persistence diagram,"Zihan Ma, Tianchong Gao",Comput. Secur. 136: 103557 (2024)
7,2024,"Backdoor attacks and defenses in federated learning: Survey, challenges and future research directions","Thuy Dung Nguyen, Tuan Nguyen, Phi Le Nguyen, Hieu H. Pham, Khoa D. Doan, Kok-Seng Wong",Eng. Appl. Artif. Intell. 127(Part A): 107166 (2024)
8,2024,Backdoor Attacks on Graph Neural Networks Trained with Data Augmentation,"Shingo Yashiki, Chako Takahashi, Koutarou Suzuki",IEICE Trans. Fundam. Electron. Commun. Comput. Sci. 107(3): 355-358 (2024)
9,2024,Enrollment-Stage Backdoor Attacks on Speaker Recognition Systems via Adversarial Ultrasound,"Xinfeng Li, Junning Ze, Chen Yan, Yushi Cheng, Xiaoyu Ji, Wenyuan Xu",IEEE Internet Things J. 11(8): 13108-13124 (2024)
10,2024,MITDBA: Mitigating Dynamic Backdoor Attacks in Federated Learning for IoT Applications,"Yongkang Wang, Di-Hua Zhai, Dongyu Han, Yuyin Guan, Yuanqing Xia",IEEE Internet Things J. 11(6): 10115-10132 (2024)
11,2024,Effective Backdoor Attack on Graph Neural Networks in Spectral Domain,"Xiangyu Zhao, Hanzhou Wu, Xinpeng Zhang",IEEE Internet Things J. 11(7): 12102-12114 (2024)
12,2024,NLPSweep: A comprehensive defense scheme for mitigating NLP backdoor attacks,"Tao Xiang, Fei Ouyang, Di Zhang, Chunlong Xie, Hao Wang",Inf. Sci. 661: 120176 (2024)
13,2024,The reality of backdoored S-Boxes - An eye opener,"Shah Fahd, Mehreen Afzal, Waseem Iqbal, Dawood Shah, Ijaz Khalid",J. Inf. Secur. Appl. 80: 103674 (2024)
14,2023,The Reality of Backdoored S-Boxes - An Eye Opener,"Shah Fahd, Mehreen Afzal, Waseem Iqbal, Dawood Shah, Ijaz Khalid",IACR Cryptol. ePrint Arch. 2023: 1073 (2023)
15,2024,TridentShell: An enhanced covert and scalable backdoor injection attack on web applications,"Xiaobo Yu, Weizhi Meng, Yi-Ning Liu, Fei Zhou",J. Netw. Comput. Appl. 223: 103823 (2024)
16,2024,A Spatiotemporal Backdoor Attack Against Behavior-Oriented Decision Makers in Metaverse: From Perspective of Autonomous Driving,"Yinbo Yu, Jiajia Liu, Hongzhi Guo, Bomin Mao, Nei Kato",IEEE J. Sel. Areas Commun. 42(4): 948-962 (2024)
17,2024,Detection of backdoor attacks using targeted universal adversarial perturbations for deep neural networks,"Yubin Qu, Song Huang, Xiang Chen, Xingya Wang, Yongming Yao",J. Syst. Softw. 207: 111859 (2024)
18,2024,Invisible backdoor learning in regional transform domain,"Yuyuan Sun, Yuliang Lu, Xuehu Yan, Xuan Wang",Neural Comput. Appl. 36(14): 8097-8108 (2024)
19,2024,"Backdoor advertising scandals, Yingyeo culture, and cancel culture among YouTube Influencers in South Korea","Jin Lee, Crystal Abidin",New Media Soc. 26(1): 405-425 (2024)
20,2024,Enhanced Coalescence Backdoor Attack Against DNN Based on Pixel Gradient,"Jianyao Yin, Honglong Chen, Junjian Li, Yudong Gao",Neural Process. Lett. 56(2): 114 (2024)
21,2024,SilentTrig: An imperceptible backdoor attack against speaker identification with hidden triggers,"Yu Tang, Lijuan Sun, Xiaolong Xu",Pattern Recognit. Lett. 177: 103-109 (2024)
22,2024,Motif-Backdoor: Rethinking the Backdoor Attack on Graph Neural Networks via Motifs,"Haibin Zheng, Haiyang Xiong, Jinyin Chen, Haonan Ma, Guohan Huang",IEEE Trans. Comput. Soc. Syst. 11(2): 2479-2493 (2024)
23,2024,Link-Backdoor: Backdoor Attack on Link Prediction via Node Injection,"Haibin Zheng, Haiyang Xiong, Haonan Ma, Guohan Huang, Jinyin Chen",IEEE Trans. Comput. Soc. Syst. 11(2): 1816-1831 (2024)
