title,venue,year,author,volume,url
A Dual Stealthy Backdoor: From Both Spatial and Frequency Perspectives.,AAAI,2024,"Yudong Gao, Honglong Chen, Peng Sun 0003, Junjian Li, Anqing Zhang, Zhibo Wang 0001, Weifeng Liu 0001",,https://doi.org/10.1609/aaai.v38i3.27954
Backdoor Adjustment via Group Adaptation for Debiased Coupon Recommendations.,AAAI,2024,"Junpeng Fang, Gongduo Zhang, Qing Cui, Caizhi Tang, Lihong Gu, Longfei Li, Jinjie Gu, Jun Zhou 0011",,https://doi.org/10.1609/aaai.v38i11.29081
Backdoor Attacks via Machine Unlearning.,AAAI,2024,"Zihao Liu, Tianhao Wang 0001, Mengdi Huai, Chenglin Miao",,https://doi.org/10.1609/aaai.v38i13.29321
BadRL: Sparse Targeted Backdoor Attack against Reinforcement Learning.,AAAI,2024,"Jing Cui, Yufei Han, Yuzhe Ma, Jianbin Jiao, Junge Zhang",,https://doi.org/10.1609/aaai.v38i10.29052
BadSAM: Exploring Security Vulnerabilities of SAM via Backdoor Attacks (Student Abstract).,AAAI,2024,"Zihan Guan 0001, Mengxuan Hu, Zhongliang Zhou, Jielu Zhang, Sheng Li 0001, Ninghao Liu",,https://doi.org/10.1609/aaai.v38i21.30448
Beyond Traditional Threats: A Persistent Backdoor Attack on Federated Learning.,AAAI,2024,"Tao Liu, Yuhang Zhang, Zhu Feng, Zhiqin Yang, Chen Xu 0008, Dapeng Man, Wu Yang 0001",,https://doi.org/10.1609/aaai.v38i19.30131
COMBAT: Alternated Training for Effective Clean-Label Backdoor Attacks.,AAAI,2024,"Tran Huynh, Dang Nguyen, Tung Pham 0001, Anh Tran",,https://doi.org/10.1609/aaai.v38i3.28019
Chronic Poisoning: Backdoor Attack against Split Learning.,AAAI,2024,"Fangchao Yu, Bo Zeng, Kai Zhao, Zhi Pang, Lina Wang",,https://doi.org/10.1609/aaai.v38i15.29591
Conditional Backdoor Attack via JPEG Compression.,AAAI,2024,"Qiuyu Duan, Zhongyun Hua, Qing Liao 0001, Yushu Zhang, Leo Yu Zhang",,https://doi.org/10.1609/aaai.v38i18.29957
DataElixir: Purifying Poisoned Dataset to Mitigate Backdoor Attacks via Diffusion Models.,AAAI,2024,"Jiachen Zhou, Peizhuo Lv, Yibing Lan, Guozhu Meng, Kai Chen 0012, Hualong Ma",,https://doi.org/10.1609/aaai.v38i19.30186
Does Few-Shot Learning Suffer from Backdoor Attacks?,AAAI,2024,"Xinwei Liu, Xiaojun Jia, Jindong Gu, Yuan Xun, Siyuan Liang, Xiaochun Cao",,https://doi.org/10.1609/aaai.v38i18.29965
Elijah: Eliminating Backdoors Injected in Diffusion Models via Distribution Shift.,AAAI,2024,"Shengwei An, Sheng-Yen Chou, Kaiyuan Zhang 0002, Qiuling Xu, Guanhong Tao 0001, Guangyu Shen, Siyuan Cheng 0005, Shiqing Ma, Pin-Yu Chen, Tsung-Yi Ho, Xiangyu Zhang",,https://doi.org/10.1609/aaai.v38i10.28958
Inspecting Prediction Confidence for Detecting Black-Box Backdoor Attacks.,AAAI,2024,"Tong Wang, Yuan Yao 0001, Feng Xu 0007, Miao Xu, Shengwei An, Ting Wang",,https://doi.org/10.1609/aaai.v38i1.27780
Invisible Backdoor Attack against 3D Point Cloud Classifier in Graph Spectral Domain.,AAAI,2024,"Linkun Fan, Fazhi He, Tongzhen Si, Wei Tang, Bing Li",,https://doi.org/10.1609/aaai.v38i19.30099
Personalization as a Shortcut for Few-Shot Backdoor Attack against Text-to-Image Diffusion Models.,AAAI,2024,"Yihao Huang 0001, Felix Juefei-Xu, Qing Guo, Jie Zhang, Yutong Wu 0009, Ming Hu 0003, Tianlin Li, Geguang Pu, Yang Liu",,https://doi.org/10.1609/aaai.v38i19.30110
Progressive Poisoned Data Isolation for Training-Time Backdoor Defense.,AAAI,2024,"Yiming Chen, Haiwei Wu, Jiantao Zhou 0001",,https://doi.org/10.1609/aaai.v38i10.29023
Resisting Backdoor Attacks in Federated Learning via Bidirectional Elections and Individual Perspective.,AAAI,2024,"Zhen Qin, Feiyi Chen, Chen Zhi, Xueqiang Yan, Shuiguang Deng",,https://doi.org/10.1609/aaai.v38i13.29385
SEER: Backdoor Detection for Vision-Language Models through Searching Target Text and Image Trigger Jointly.,AAAI,2024,"Liuwan Zhu, Rui Ning, Jiang Li, Chunsheng Xin, Hongyi Wu",,https://doi.org/10.1609/aaai.v38i7.28611
Temporal-Distributed Backdoor Attack against Video Based Action Recognition.,AAAI,2024,"Xi Li, Songhe Wang, Ruiquan Huang, Mahanth Gowda, George Kesidis",,https://doi.org/10.1609/aaai.v38i4.28104
UMA: Facilitating Backdoor Scanning via Unlearning-Based Model Ablation.,AAAI,2024,"Yue Zhao, Congyi Li, Kai Chen 0012",,https://doi.org/10.1609/aaai.v38i19.30183
Watermarking in Secure Federated Learning: A Verification Framework Based on Client-Side Backdooring.,ACM Trans. Intell. Syst. Technol.,2024,"Wenyuan Yang, Shuo Shao, Yue Yang, Xiyao Liu 0001, Ximeng Liu, Zhihua Xia, Gerald Schaefer, Hui Fang 0003",15,https://doi.org/10.1145/3630636
